job_id,position_desc,employer_desc,desc_id,accomplishments
1,Undergraduate Research Assistant,University of Pittsburgh,1,Analyzed potential effects of hypertension on the brain in collaboration with a multidisciplinary group of colleagues in a psychophysiology lab
1,Undergraduate Research Assistant,University of Pittsburgh,2,Presented spatial data visualizations and findings of brain volume comparisons in patients with sleep apnea
2,Systems Programmer,University of Pittsburgh,1,Analyzed pharmacology research questions using SQL and Python to maintain and query large datasets of patient records under the Observational Medical Outcomes Partnership (OMOP) Common Data Model
2,Systems Programmer,University of Pittsburgh,2,Worked as part of the Natural Product Drug Interactions (NaPDI) team to develop features for a data repository. Maintained this web application's backend PostgreSQL database and helped manage its deployment via AWS EC2
2,Systems Programmer,University of Pittsburgh,3,Packaged natural product experiment data for visualization and interface tools in the NaPDI data repository via SQL and Node.js code
2,Systems Programmer,University of Pittsburgh,4,Developed a contextual drug-drug interaction alerting system to enhance clinical decision making in collaboration with pharmacology experts. Constructed algorithms for generating individualized warnings based on ICD diagnosis codes and RxNorm prescription records
2,Systems Programmer,University of Pittsburgh,5,"Performed large scale retrospective analyses on encounter-based longitudinal patient data through transforming, loading, and subsetting an Amazon Redshift database via SQL and R"
3,Data Analyst,Emory University School of Medicine,1,Analyzed how pain intensity progresses in patients with sickle cell disease using time series clustering models in R
3,Data Analyst,Emory University School of Medicine,2,Applied predictive modeling techniques in assessing the temporal dynamics of pain in sickle cell patients via Markov models
3,Data Analyst,Emory University School of Medicine,3,Transformed and analyzed large quantitative datasets of ICD diagnosis data and longitudinal pain scores using Python and R to develop phenotypes for chronic pain and pain-related interference in sickle cell patients
4,Data Quality Analyst,Metro Atlanta Rapid Transit Authority (MARTA),1,Develop and enhance data management and governance processes behind data objects integral toward strategic decision-making across several of MARTA's key business functions
4,Data Quality Analyst,Metro Atlanta Rapid Transit Authority (MARTA),2,"Design and implement strategies for data quality assurance in order to detect and correct data issues, and conduct root cause analyses of recurring issues to oversee systematic enhancement in reporting practices"
4,Data Quality Analyst,Metro Atlanta Rapid Transit Authority (MARTA),3,Implement unsupervised learning and modern regression approaches in R and Python to assess drivers and key factors behind MARTA's customer segmentation and ridership forecasting
4,Data Quality Analyst,Metro Atlanta Rapid Transit Authority (MARTA),4,"Produce user-friendly dashboards and report interfaces in Power BI and R Shiny to facilitate on-demand insights into KPI trends for internal stakeholders across MARTA, including C-level executives"
4,Data Quality Analyst,Metro Atlanta Rapid Transit Authority (MARTA),5,"Handle ad-hoc data requests with a 100% on-time delivery rate for a variety of internal and external stakeholders, via flexible utilization of Python, R, and SQL for data packaging, analysis, and visualization"
